 Epoch : 0 , Step : 100 , Loss : 78.449666 , Error: 0.011500 , lr :0.001000
 Epoch : 0 , Step : 200 , Loss : 91.526753 , Error: 0.013000 , lr :0.001000
 Epoch : 0 , Step : 300 , Loss : 88.224367 , Error: 0.013500 , lr :0.001000
 Epoch : 0 , Step : 400 , Loss : 87.252270 , Error: 0.011500 , lr :0.001000
 Epoch : 0 , Step : 500 , Loss : 96.282062 , Error: 0.017000 , lr :0.001000
 Epoch : 0 , Step : 600 , Loss : 103.048558 , Error: 0.017500 , lr :0.001000
 Epoch : 0 , Step : 700 , Loss : 109.119088 , Error: 0.017500 , lr :0.001000
 Epoch : 0 , Step : 800 , Loss : 126.440706 , Error: 0.023000 , lr :0.001000
 Epoch : 0 , Step : 900 , Loss : 148.585131 , Error: 0.025000 , lr :0.001000
 Epoch : 0 , Step : 1000 , Loss : 101.116717 , Error: 0.016000 , lr :0.001000
 Epoch : 0 , Step : 1100 , Loss : 82.320802 , Error: 0.017000 , lr :0.001000
 Epoch : 0 , Step : 1200 , Loss : 140.106597 , Error: 0.025000 , lr :0.001000
 Epoch : 0 , Step : 1300 , Loss : 143.754904 , Error: 0.023500 , lr :0.001000
 Epoch : 0 , Step : 1400 , Loss : 137.869980 , Error: 0.026500 , lr :0.001000
 Epoch : 0 , Step : 1500 , Loss : 132.408826 , Error: 0.024500 , lr :0.001000
 Epoch : 0 , Step : 1600 , Loss : 152.146867 , Error: 0.025000 , lr :0.001000
 Epoch : 0 , Step : 1700 , Loss : 115.137737 , Error: 0.020500 , lr :0.001000
 Epoch : 0 , Step : 1800 , Loss : 100.532502 , Error: 0.015500 , lr :0.001000
 Epoch : 0 , Step : 1900 , Loss : 108.122875 , Error: 0.018500 , lr :0.001000
 Epoch : 0 , Step : 2000 , Loss : 173.461911 , Error: 0.032000 , lr :0.001000
 Epoch : 0 , Step : 2100 , Loss : 137.443452 , Error: 0.024500 , lr :0.001000
 Epoch : 0 , Step : 2200 , Loss : 109.114622 , Error: 0.017000 , lr :0.001000
 Epoch : 0 , Step : 2300 , Loss : 125.747628 , Error: 0.021000 , lr :0.001000
 Epoch : 0 , Step : 2400 , Loss : 163.011710 , Error: 0.028500 , lr :0.001000
 Epoch : 0 , Step : 2500 , Loss : 129.008653 , Error: 0.023000 , lr :0.001000
 Epoch : 0 , Step : 2600 , Loss : 178.699747 , Error: 0.031000 , lr :0.001000
 Epoch : 0 , Step : 2700 , Loss : 151.045300 , Error: 0.030500 , lr :0.001000
 Epoch : 1 , Step : 2800 , Loss : 111.078403 , Error: 0.018000 , lr :0.001000
 Epoch : 1 , Step : 2900 , Loss : 60.357439 , Error: 0.007000 , lr :0.001000
 Epoch : 1 , Step : 3000 , Loss : 119.494648 , Error: 0.018000 , lr :0.001000
 Epoch : 1 , Step : 3100 , Loss : 67.024355 , Error: 0.012500 , lr :0.001000
 Epoch : 1 , Step : 3200 , Loss : 98.384876 , Error: 0.016000 , lr :0.001000
 Epoch : 1 , Step : 3300 , Loss : 84.960000 , Error: 0.016500 , lr :0.001000
 Epoch : 1 , Step : 3400 , Loss : 129.323742 , Error: 0.023000 , lr :0.001000
 Epoch : 1 , Step : 3500 , Loss : 95.816890 , Error: 0.016500 , lr :0.001000
 Epoch : 1 , Step : 3600 , Loss : 96.260379 , Error: 0.016000 , lr :0.001000
 Epoch : 1 , Step : 3700 , Loss : 114.793559 , Error: 0.020000 , lr :0.001000
 Epoch : 1 , Step : 3800 , Loss : 117.302452 , Error: 0.020000 , lr :0.001000
 Epoch : 1 , Step : 3900 , Loss : 109.738405 , Error: 0.019000 , lr :0.001000
 Epoch : 1 , Step : 4000 , Loss : 141.630280 , Error: 0.024500 , lr :0.001000
 Epoch : 1 , Step : 4100 , Loss : 140.184946 , Error: 0.024000 , lr :0.001000
 Epoch : 1 , Step : 4200 , Loss : 130.190964 , Error: 0.024500 , lr :0.001000
 Epoch : 1 , Step : 4300 , Loss : 148.525585 , Error: 0.023500 , lr :0.001000
 Epoch : 1 , Step : 4400 , Loss : 142.211216 , Error: 0.023500 , lr :0.001000
 Epoch : 1 , Step : 4500 , Loss : 140.909724 , Error: 0.024000 , lr :0.001000
 Epoch : 1 , Step : 4600 , Loss : 119.595907 , Error: 0.020500 , lr :0.001000
 Epoch : 1 , Step : 4700 , Loss : 111.858602 , Error: 0.021000 , lr :0.001000
 Epoch : 1 , Step : 4800 , Loss : 112.209900 , Error: 0.018000 , lr :0.001000
 Epoch : 1 , Step : 4900 , Loss : 96.013737 , Error: 0.017000 , lr :0.001000
 Epoch : 1 , Step : 5000 , Loss : 130.577247 , Error: 0.022500 , lr :0.001000
 Epoch : 1 , Step : 5100 , Loss : 139.319572 , Error: 0.023500 , lr :0.001000
 Epoch : 1 , Step : 5200 , Loss : 137.915906 , Error: 0.024000 , lr :0.001000
 Epoch : 1 , Step : 5300 , Loss : 192.494180 , Error: 0.031000 , lr :0.001000
 Epoch : 1 , Step : 5400 , Loss : 163.768675 , Error: 0.028500 , lr :0.001000
