 Epoch : 0 , Step : 100 , Loss : 4577.188540 , Error: 0.846500 , lr :0.001000
 Epoch : 0 , Step : 200 , Loss : 3971.204504 , Error: 0.579500 , lr :0.001000
 Epoch : 0 , Step : 300 , Loss : 3031.530165 , Error: 0.374000 , lr :0.001000
 Epoch : 0 , Step : 400 , Loss : 2391.030855 , Error: 0.311500 , lr :0.001000
 Epoch : 0 , Step : 500 , Loss : 2010.547140 , Error: 0.291500 , lr :0.001000
 Epoch : 0 , Step : 600 , Loss : 1830.053369 , Error: 0.273000 , lr :0.001000
 Epoch : 0 , Step : 700 , Loss : 1658.402523 , Error: 0.245500 , lr :0.001000
 Epoch : 0 , Step : 800 , Loss : 1569.091870 , Error: 0.236000 , lr :0.001000
 Epoch : 0 , Step : 900 , Loss : 1515.377541 , Error: 0.236000 , lr :0.001000
 Epoch : 0 , Step : 1000 , Loss : 1463.400386 , Error: 0.241000 , lr :0.001000
 Epoch : 0 , Step : 1100 , Loss : 1451.994611 , Error: 0.246000 , lr :0.001000
 Epoch : 0 , Step : 1200 , Loss : 1396.790268 , Error: 0.219500 , lr :0.001000
 Epoch : 0 , Step : 1300 , Loss : 1374.838301 , Error: 0.219500 , lr :0.001000
 Epoch : 0 , Step : 1400 , Loss : 1357.345942 , Error: 0.224000 , lr :0.001000
 Epoch : 0 , Step : 1500 , Loss : 1272.878279 , Error: 0.207500 , lr :0.001000
 Epoch : 0 , Step : 1600 , Loss : 1287.207469 , Error: 0.210500 , lr :0.001000
 Epoch : 0 , Step : 1700 , Loss : 1257.091416 , Error: 0.207000 , lr :0.001000
 Epoch : 0 , Step : 1800 , Loss : 1266.422555 , Error: 0.204000 , lr :0.001000
 Epoch : 0 , Step : 1900 , Loss : 1226.978023 , Error: 0.191000 , lr :0.001000
 Epoch : 0 , Step : 2000 , Loss : 1226.500926 , Error: 0.197000 , lr :0.001000
 Epoch : 0 , Step : 2100 , Loss : 1250.134813 , Error: 0.209500 , lr :0.001000
 Epoch : 0 , Step : 2200 , Loss : 1170.075369 , Error: 0.186500 , lr :0.001000
 Epoch : 0 , Step : 2300 , Loss : 1186.431209 , Error: 0.195000 , lr :0.001000
 Epoch : 0 , Step : 2400 , Loss : 1160.160462 , Error: 0.190000 , lr :0.001000
 Epoch : 0 , Step : 2500 , Loss : 1108.878907 , Error: 0.176500 , lr :0.001000
 Epoch : 0 , Step : 2600 , Loss : 1168.693700 , Error: 0.182500 , lr :0.001000
 Epoch : 0 , Step : 2700 , Loss : 1115.766062 , Error: 0.187000 , lr :0.001000
 Epoch : 1 , Step : 2800 , Loss : 1094.835629 , Error: 0.173500 , lr :0.001000
 Epoch : 1 , Step : 2900 , Loss : 1136.036146 , Error: 0.186500 , lr :0.001000
 Epoch : 1 , Step : 3000 , Loss : 1056.823137 , Error: 0.167500 , lr :0.001000
 Epoch : 1 , Step : 3100 , Loss : 1086.759144 , Error: 0.181500 , lr :0.001000
 Epoch : 1 , Step : 3200 , Loss : 1041.523095 , Error: 0.173500 , lr :0.001000
 Epoch : 1 , Step : 3300 , Loss : 1106.560514 , Error: 0.183000 , lr :0.001000
 Epoch : 1 , Step : 3400 , Loss : 976.097346 , Error: 0.157500 , lr :0.001000
 Epoch : 1 , Step : 3500 , Loss : 1037.893944 , Error: 0.168500 , lr :0.001000
 Epoch : 1 , Step : 3600 , Loss : 953.622499 , Error: 0.145500 , lr :0.001000
