 Epoch : 35 , Step : 19800 , Loss : 1532.433698 , Error: 0.035600 , lr :0.001000
 Epoch : 36 , Step : 19900 , Loss : 268.290866 , Error: 0.825818 , lr :0.001000
 Epoch : 36 , Step : 20000 , Loss : 530.381681 , Error: 0.649764 , lr :0.001000
 Epoch : 36 , Step : 20100 , Loss : 804.915709 , Error: 0.474091 , lr :0.001000
 Epoch : 36 , Step : 20200 , Loss : 1061.671798 , Error: 0.297964 , lr :0.001000
 Epoch : 36 , Step : 20300 , Loss : 1330.716366 , Error: 0.122127 , lr :0.001000
 Epoch : 37 , Step : 20400 , Loss : 126.506769 , Error: 0.913600 , lr :0.001000
 Epoch : 37 , Step : 20500 , Loss : 370.592225 , Error: 0.737091 , lr :0.001000
 Epoch : 37 , Step : 20600 , Loss : 626.733568 , Error: 0.560800 , lr :0.001000
 Epoch : 37 , Step : 20700 , Loss : 889.351230 , Error: 0.384709 , lr :0.001000
 Epoch : 37 , Step : 20800 , Loss : 1143.514227 , Error: 0.208400 , lr :0.001000
 Epoch : 37 , Step : 20900 , Loss : 1428.323016 , Error: 0.032855 , lr :0.001000
 Epoch : 38 , Step : 21000 , Loss : 222.958363 , Error: 0.824509 , lr :0.001000
 Epoch : 38 , Step : 21100 , Loss : 487.989820 , Error: 0.648218 , lr :0.001000
 Epoch : 38 , Step : 21200 , Loss : 731.941951 , Error: 0.471727 , lr :0.001000
 Epoch : 38 , Step : 21300 , Loss : 983.047995 , Error: 0.295291 , lr :0.001000
 Epoch : 38 , Step : 21400 , Loss : 1251.181903 , Error: 0.119400 , lr :0.001000
 Epoch : 39 , Step : 21500 , Loss : 106.437053 , Error: 0.913073 , lr :0.001000
 Epoch : 39 , Step : 21600 , Loss : 332.247950 , Error: 0.735927 , lr :0.001000
 Epoch : 39 , Step : 21700 , Loss : 558.679635 , Error: 0.558873 , lr :0.001000
 Epoch : 39 , Step : 21800 , Loss : 818.374474 , Error: 0.382473 , lr :0.001000
 Epoch : 39 , Step : 21900 , Loss : 1063.914320 , Error: 0.205873 , lr :0.001000
 Epoch : 39 , Step : 22000 , Loss : 1329.459477 , Error: 0.030073 , lr :0.001000
 Epoch : 40 , Step : 22100 , Loss : 224.876510 , Error: 0.824691 , lr :0.001000
 Epoch : 40 , Step : 22200 , Loss : 463.406065 , Error: 0.647982 , lr :0.001000
 Epoch : 40 , Step : 22300 , Loss : 698.819942 , Error: 0.471091 , lr :0.001000
 Epoch : 40 , Step : 22400 , Loss : 933.668840 , Error: 0.294200 , lr :0.001000
 Epoch : 40 , Step : 22500 , Loss : 1172.921914 , Error: 0.117418 , lr :0.001000
 Epoch : 41 , Step : 22600 , Loss : 105.321606 , Error: 0.913036 , lr :0.001000
 Epoch : 41 , Step : 22700 , Loss : 322.277399 , Error: 0.735491 , lr :0.001000
 Epoch : 41 , Step : 22800 , Loss : 561.439073 , Error: 0.558636 , lr :0.001000
 Epoch : 41 , Step : 22900 , Loss : 785.839074 , Error: 0.381709 , lr :0.001000
 Epoch : 41 , Step : 23000 , Loss : 1028.238187 , Error: 0.204927 , lr :0.001000
 Epoch : 41 , Step : 23100 , Loss : 1265.275107 , Error: 0.028000 , lr :0.001000
 Epoch : 42 , Step : 23200 , Loss : 208.290507 , Error: 0.824309 , lr :0.001000
 Epoch : 42 , Step : 23300 , Loss : 410.363749 , Error: 0.646473 , lr :0.001000
 Epoch : 42 , Step : 23400 , Loss : 639.221651 , Error: 0.469527 , lr :0.001000
 Epoch : 42 , Step : 23500 , Loss : 869.380686 , Error: 0.292382 , lr :0.001000
 Epoch : 42 , Step : 23600 , Loss : 1123.199686 , Error: 0.115982 , lr :0.001000
 Epoch : 43 , Step : 23700 , Loss : 92.464791 , Error: 0.912727 , lr :0.001000
 Epoch : 43 , Step : 23800 , Loss : 295.262897 , Error: 0.735091 , lr :0.001000
 Epoch : 43 , Step : 23900 , Loss : 521.567010 , Error: 0.557800 , lr :0.001000
 Epoch : 43 , Step : 24000 , Loss : 753.166822 , Error: 0.380891 , lr :0.001000
 Epoch : 43 , Step : 24100 , Loss : 988.192785 , Error: 0.204036 , lr :0.001000
 Epoch : 43 , Step : 24200 , Loss : 1214.423568 , Error: 0.027018 , lr :0.001000
 Epoch : 44 , Step : 24300 , Loss : 197.780965 , Error: 0.823873 , lr :0.001000
